NodeId	d_1	d_2	clu	clo	n_triad	eig1	eig2
0	17	190	0.080882	0.090535	11	0.04162	0.040108
1	23	251	0.059289	0.091185	15	0.059646	0.053752
2	10	102	0.11111	0.075758	5	0.025246	0.023382
3	10	117	0.17778	0.10667	8	0.027597	0.02662
4	11	141	0.14545	0.094675	8	0.031646	0.032061
5	6	90	0.4	0.10811	6	0.021191	0.021174
6	16	200	0.125	0.11236	15	0.049855	0.044613
7	12	150	0.15152	0.10309	10	0.036251	0.03352
8	36	291	0.052381	0.1564	33	0.08419	0.06201
9	16	180	0.075	0.082949	9	0.039139	0.039087
10	7	110	0.19048	0.058824	4	0.023578	0.024489
11	11	125	0.12727	0.090909	7	0.027275	0.028103
12	10	118	0.088889	0.058824	4	0.024782	0.026807
13	9	124	0.055556	0.027778	2	0.024127	0.027098
14	7	93	0.095238	0.04	2	0.014468	0.018419
15	8	106	0.21429	0.097561	6	0.0195	0.022425
16	12	113	0.075758	0.08	5	0.018397	0.022339
17	10	111	0.088889	0.062016	4	0.016847	0.020462
18	15	135	0.038095	0.053333	4	0.020495	0.025129
19	14	194	0.010989	0.010152	1	0.028263	0.037913
20	8	139	0.071429	0.027778	2	0.020287	0.028683
21	11	150	0.12727	0.075676	7	0.024254	0.028546
22	6	63	0.2	0.083333	3	0.0090115	0.0113
23	8	91	0.10714	0.058252	3	0.0121	0.016263
24	6	57	0.2	0.092308	3	0.0082502	0.010751
25	21	176	0.047619	0.095694	10	0.030911	0.034859
26	7	121	0.19048	0.058394	4	0.018857	0.023944
27	21	183	0.066667	0.11814	14	0.04134	0.038947
28	13	135	0.10256	0.089888	8	0.027543	0.028407
29	10	105	0.066667	0.046512	3	0.021839	0.022964
30	11	140	0.054545	0.037267	3	0.027417	0.031424
31	11	141	0.10909	0.072289	6	0.027859	0.031061
32	15	154	0.0095238	0.011299	1	0.032218	0.033411
33	11	194	0.072727	0.033195	4	0.040115	0.042275
34	15	194	0.10476	0.089431	11	0.043633	0.042384
35	38	325	0.049787	0.14374	35	0.094968	0.069736
36	14	206	0.12088	0.088353	11	0.044587	0.045826
37	23	245	0.063241	0.10423	16	0.05833	0.054073
38	33	328	0.056818	0.13072	30	0.09242	0.070418
39	13	197	0.11538	0.071146	9	0.045258	0.043045
40	7	105	0.2381	0.082645	5	0.021497	0.024327
41	6	77	0.2	0.067416	3	0.014611	0.01677
42	10	128	0.022222	0.014184	1	0.025657	0.029395
43	7	77	0.095238	0.047059	2	0.0134	0.016326
44	7	80	0.2381	0.10638	5	0.015537	0.017048
45	20	184	0.026316	0.04717	5	0.036283	0.038257
46	6	86	0.2	0.061856	3	0.014924	0.018212
47	25	222	0.05	0.10601	15	0.046715	0.042718
48	9	149	0.11111	0.047904	4	0.025935	0.030251
49	11	106	0.036364	0.034483	2	0.017268	0.020971
50	10	176	0.066667	0.032258	3	0.030095	0.03888
51	10	151	0.022222	0.012987	1	0.024403	0.032237
52	24	251	0.047101	0.082803	13	0.047013	0.048766
53	13	136	0.12821	0.11236	10	0.025816	0.026433
54	8	82	0.21429	0.12245	6	0.012891	0.015159
55	26	213	0.04	0.098485	13	0.039931	0.041068
56	7	80	0.047619	0.022472	1	0.011269	0.014886
57	5	61	0.1	0.030769	1	0.0078445	0.010689
58	11	103	0.072727	0.066667	4	0.017027	0.019834
59	10	97	0.11111	0.09009	5	0.016039	0.019321
60	8	93	0.14286	0.07767	4	0.014357	0.018369
61	8	86	0.14286	0.079208	4	0.014699	0.017691
62	17	154	0.073529	0.10363	10	0.031531	0.032387
63	10	148	0.11111	0.05814	5	0.026995	0.032176
64	11	157	0.054545	0.032432	3	0.029103	0.034029
65	35	300	0.02521	0.076531	15	0.077676	0.064397
66	10	151	0.11111	0.05618	5	0.031685	0.035638
67	10	149	0.15556	0.076503	7	0.032627	0.034129
68	12	153	0.12121	0.088398	8	0.033255	0.034833
69	10	149	0.044444	0.023529	2	0.031106	0.033388
70	10	147	0.11111	0.056818	5	0.032097	0.033832
71	16	165	0.041667	0.047393	5	0.040127	0.036778
72	13	133	0.11538	0.10169	9	0.031484	0.02932
73	6	49	0.26667	0.12121	4	0.012864	0.011485
74	12	156	0.030303	0.022857	2	0.029753	0.033907
75	18	244	0.045752	0.049296	7	0.050203	0.05311
76	9	145	0.13889	0.059172	5	0.028948	0.031569
77	9	138	0.083333	0.03681	3	0.025949	0.02861
78	6	59	0.066667	0.029412	1	0.01402	0.014314
79	22	244	0.08658	0.12195	20	0.057761	0.050587
80	12	185	0.16667	0.09205	11	0.038628	0.037774
81	8	99	0.071429	0.036364	2	0.016737	0.020538
82	6	74	0.066667	0.025974	1	0.012022	0.015966
83	11	120	0.036364	0.029197	2	0.02111	0.024123
84	7	113	0.2381	0.076336	5	0.021951	0.025712
